 10/09/1812 Fri 04:35:32  255456ec42 "toward her."
 10/10/1812 Sat 23:26:40  ba90d36f89 "looks at the approaching dogs and sportsmen."
 10/10/1812 Sat 23:28:52  255faae28f "“Natálya Ilyníchna,” Pierre began, dropping his eyes with a feeling of"
 10/10/1812 Sat 23:30:03  4aebec9d6c "pity for her and loathing for the thing he had to do, “whether it is"
 10/10/1812 Sat 23:31:12  efe86868b0 "true or not should make no difference to you, because...”"
 10/10/1812 Sat 23:32:35  b33b78da22 "“Then it is not true that he’s married!”"
 10/10/1812 Sat 23:34:01  b008b353c3 "“Yes, it is true.”"
 10/10/1812 Sat 23:36:29  c614755b4e "“Has he been married long?” she asked. “On your honor?...”"
 10/10/1812 Sat 23:37:41  7cb3bb3e1e "Pierre gave his word of honor."
 10/10/1812 Sat 23:38:35  0cafd2d2b9 "“Is he still here?” she asked, quickly."
 10/10/1812 Sat 23:39:39  218fd972fa "“Yes, I have just seen him.”"
 10/10/1812 Sat 23:40:54  624e840c64 "She was evidently unable to speak and made a sign with her hands that"
 10/10/1812 Sat 23:42:18  c96afbc7ff "they should leave her alone."
 10/10/1812 Sat 23:43:52  48fb606694 "CHAPTER XX"
 10/10/1812 Sat 23:44:56  21604a0fc4 "Pierre did not stay for dinner, but left the room and went away at once."
 10/10/1812 Sat 23:46:49  42ed284dfc "He drove through the town seeking Anatole Kurágin, at the thought of"
 10/10/1812 Sat 23:47:56  600c06c4c6 "whom now the blood rushed to his heart and he felt a difficulty in"
 10/10/1812 Sat 23:50:05  af4f8e3852 "breathing. He was not at the ice hills, nor at the gypsies’, nor at"
 10/10/1812 Sat 23:50:50  983ea68bda "Komoneno’s. Pierre drove to the Club. In the Club all was going on as"
 10/10/1812 Sat 23:51:36  5ff10b5b82 "usual. The members who were assembling for dinner were sitting about"
 10/10/1812 Sat 23:53:54  58b58ce8f9 "in groups; they greeted Pierre and spoke of the town news. The footman"
 10/10/1812 Sat 23:55:08  c0deace001 "having greeted him, knowing his habits and his acquaintances, told him"
 10/10/1812 Sat 23:56:16  f44c1a9118 "there was a place left for him in the small dining room and that Prince"
 10/10/1812 Sat 23:56:59  5e1ab0b0ce "Michael Zakhárych was in the library, but Paul Timoféevich had not yet"
 10/10/1812 Sat 23:57:29  b37b60776b "arrived. One of Pierre’s acquaintances, while they were talking about"
 10/10/1812 Sat 23:59:35  cd54df120d "the weather, asked if he had heard of Kurágin’s abduction of Rostóva"
 10/11/1812 Sun 00:00:46  4e8a31425b "which was talked of in the town, and was it true? Pierre laughed and"
 10/11/1812 Sun 00:02:14  cec3e1db16 "said it was nonsense for he had just come from the Rostóvs’. He asked"
 10/11/1812 Sun 00:03:46  a09422ba60 "everyone about Anatole. One man told him he had not come yet, and"
 10/11/1812 Sun 00:05:35  cf9540c819 "another that he was coming to dinner. Pierre felt it strange to see this"
 10/11/1812 Sun 00:06:12  a38a0730a9 "calm, indifferent crowd of people unaware of what was going on in his"
 10/11/1812 Sun 00:07:05  afdf82b8a7 "soul. He paced through the ballroom, waited till everyone had come, and"
 10/11/1812 Sun 00:08:37  e7d6dfd8af "as Anatole had not turned up did not stay for dinner but drove home."
 10/11/1812 Sun 00:09:55  7a34024e69 "Anatole, for whom Pierre was looking, dined that day with Dólokhov,"
 10/11/1812 Sun 00:11:27  706cdea91e "consulting him as to how to remedy this unfortunate affair. It seemed to"
 10/11/1812 Sun 00:13:52  2b23431cf8 "him essential to see Natásha. In the evening he drove to his sister’s"
 10/11/1812 Sun 00:15:58  67eb574494 "to discuss with her how to arrange a meeting. When Pierre returned home"
 10/11/1812 Sun 00:17:21  7f7d68fe78 "after vainly hunting all over Moscow, his valet informed him that Prince"
 10/11/1812 Sun 00:18:20  dd54c65d0e "Anatole was with the countess. The countess’ drawing room was full of"
 10/11/1812 Sun 00:18:50  c0deace001 "guests."
 10/11/1812 Sun 00:20:35  4857aa3a89 "Pierre without greeting his wife whom he had not seen since his"
 10/11/1812 Sun 00:21:59  2a50dee553 "return—at that moment she was more repulsive to him than ever—entered"
 10/11/1812 Sun 00:22:52  e04f066fc4 "the drawing room and seeing Anatole went up to him."
 10/11/1812 Sun 00:25:11  7bdaf71311 "“Ah, Pierre,” said the countess going up to her husband. “You don’t know"
 10/11/1812 Sun 00:25:51  0dfdc28b69 "what a plight our Anatole...”"
 10/11/1812 Sun 00:27:13  f99914609f "She stopped, seeing in the forward thrust of her husband’s head, in his"
 10/11/1812 Sun 00:29:04  18ffa5a505 "glowing eyes and his resolute gait, the terrible indications of that"
 10/11/1812 Sun 00:29:59  37b4a62abf "rage and strength which she knew and had herself experienced after his"
 10/11/1812 Sun 00:31:38  8522fc0269 "duel with Dólokhov."
 10/11/1812 Sun 00:33:09  10bb8d6eff "“Where you are, there is vice and evil!” said Pierre to his wife."
 10/11/1812 Sun 00:34:41  2d671cb23c "“Anatole, come with me! I must speak to you,” he added in French."
 10/11/1812 Sun 00:36:50  25d994a8f1 "Anatole glanced round at his sister and rose submissively, ready to"
 10/11/1812 Sun 00:38:59  75f5586521 "follow Pierre. Pierre, taking him by the arm, pulled him toward himself"
 10/11/1812 Sun 00:40:36  db348327d9 "and was leading him from the room."
 10/11/1812 Sun 00:42:45  41b0077370 "“If you allow yourself in my drawing room...” whispered Hélène, but"
 10/11/1812 Sun 00:44:22  1d92f8a93d "Pierre did not reply and went out of the room."
 10/11/1812 Sun 00:46:32  1fe715a716 "Anatole followed him with his usual jaunty step but his face betrayed"
 10/11/1812 Sun 00:47:31  20e4241fa2 "anxiety."
 10/11/1812 Sun 00:48:10  3d3c1cab99 "Having entered his study Pierre closed the door and addressed Anatole"
 10/11/1812 Sun 00:49:39  20c3767b2a "without looking at him."
 10/11/1812 Sun 00:50:46  5a9720ab79 "“You promised Countess Rostóva to marry her and were about to elope with"
 10/11/1812 Sun 00:51:41  871db50f97 "her, is that so?”"
 10/11/1812 Sun 00:54:04  6cc5de3bcf "“Mon cher,” answered Anatole (their whole conversation was in French),"
 10/11/1812 Sun 00:55:51  d711f03024 "“I don’t consider myself bound to answer questions put to me in that"
 10/11/1812 Sun 00:57:40  679fb082c5 "tone.”"
 10/11/1812 Sun 00:59:50  238c63a2ff "Pierre’s face, already pale, became distorted by fury. He seized Anatole"
 10/11/1812 Sun 01:01:14  c0deace001 "by the collar of his uniform with his big hand and shook him from side"
 10/11/1812 Sun 01:01:54  a0ae7d5cfa "to side till Anatole’s face showed a sufficient degree of terror."
 10/11/1812 Sun 01:03:10  1c38416058 "“When I tell you that I must talk to you!...” repeated Pierre."
 10/11/1812 Sun 01:05:11  d71b50ec0e "“Come now, this is stupid. What?” said Anatole, fingering a button of"
 10/11/1812 Sun 01:06:58  1e0ba7aa6a "his collar that had been wrenched loose with a bit of the cloth."
 10/11/1812 Sun 01:09:01  a655a07fd1 "“You’re a scoundrel and a blackguard, and I don’t know what deprives"
 10/11/1812 Sun 01:11:17  133f024939 "me from the pleasure of smashing your head with this!” said Pierre,"
 10/11/1812 Sun 01:12:45  51df7a05ad "expressing himself so artificially because he was talking French."
 10/11/1812 Sun 01:14:58  c49b238e7c "He took a heavy paperweight and lifted it threateningly, but at once put"
 10/11/1812 Sun 01:16:07  9cc23eca80 "it back in its place."
 10/11/1812 Sun 01:16:48  75b58fea35 "“Did you promise to marry her?”"
 10/11/1812 Sun 01:17:18  66bf2c8c7a "“I... I didn’t think of it. I never promised, because...”"
 10/11/1812 Sun 01:19:28  b9f9455704 "Pierre interrupted him."
 10/11/1812 Sun 01:21:11  b655a3c3f5 "“Have you any letters of hers? Any letters?” he said, moving toward"
 10/11/1812 Sun 01:22:35  9eb877617d "Anatole."
 10/11/1812 Sun 01:24:24  c0deace001 "Anatole glanced at him and immediately thrust his hand into his pocket"
 10/11/1812 Sun 01:24:55  24e1f04452 "and drew out his pocketbook."
 10/11/1812 Sun 01:26:16  f33333e998 "Pierre took the letter Anatole handed him and, pushing aside a table"
 10/11/1812 Sun 01:28:38  232745a649 "that stood in his way, threw himself on the sofa."
 10/11/1812 Sun 01:30:41  ef5a24a765 "“I shan’t be violent, don’t be afraid!” said Pierre in answer to a"
 10/11/1812 Sun 01:32:31  a88c100828 "frightened gesture of Anatole’s. “First, the letters,” said he, as if"
 10/11/1812 Sun 01:34:54  cbcbe47fdc "repeating a lesson to himself. “Secondly,” he continued after a short"
 10/11/1812 Sun 01:35:49  821979b619 "pause, again rising and again pacing the room, “tomorrow you must get"
 10/11/1812 Sun 01:38:08  3f9bd8559f "out of Moscow.”"
 10/11/1812 Sun 01:38:56  0d0464213c "“But how can I?...”"
 10/11/1812 Sun 01:39:44  1fb25f89a1 "“Thirdly,” Pierre continued without listening to him, “you must never"
 10/11/1812 Sun 01:41:13  4872a3f866 "breathe a word of what has passed between you and Countess Rostóva."
 10/11/1812 Sun 01:43:21  36b761f001 "I know I can’t prevent your doing so, but if you have a spark of"
 10/11/1812 Sun 01:45:50  2572404171 "conscience...” Pierre paced the room several times in silence."
 10/11/1812 Sun 01:48:13  8771fda2d2 "Anatole sat at a table frowning and biting his lips."
 10/11/1812 Sun 01:50:25  4ec47a6ff9 "“After all, you must understand that besides your pleasure there is such"
 10/11/1812 Sun 01:50:56  0505f68126 "a thing as other people’s happiness and peace, and that you are ruining"
 10/11/1812 Sun 01:51:57  d37d8ca591 "a whole life for the sake of amusing yourself! Amuse yourself with women"
 10/11/1812 Sun 01:53:33  837166165f "like my wife—with them you are within your rights, for they know what"
 10/11/1812 Sun 01:55:13  1bbed315a7 "you want of them. They are armed against you by the same experience"
 10/11/1812 Sun 01:55:47  c0deace001 "of debauchery; but to promise a maid to marry her... to deceive, to"
 10/11/1812 Sun 01:56:25  1e91377b5e "kidnap.... Don’t you understand that it is as mean as beating an old man"
 10/11/1812 Sun 01:58:42  83d25b269c "or a child?...”"
 10/11/1812 Sun 02:00:43  4b0d2c9971 "Pierre paused and looked at Anatole no longer with an angry but with a"
 10/11/1812 Sun 02:01:33  e8e0b955c1 "questioning look."
 10/11/1812 Sun 02:03:51  a60bd06795 "“I don’t know about that, eh?” said Anatole, growing more confident as"
 10/11/1812 Sun 02:05:24  ebe83f1e0a "Pierre mastered his wrath. “I don’t know that and don’t want to,” he"
 10/11/1812 Sun 02:07:19  1378389958 "said, not looking at Pierre and with a slight tremor of his lower jaw,"
 10/11/1812 Sun 02:08:31  cd3b42747f "“but you have used such words to me—‘mean’ and so on—which as a man of"
 10/11/1812 Sun 02:09:24  2d7dec274b "honor I can’t allow anyone to use.”"
 10/11/1812 Sun 02:10:03  ad76c8793f "Pierre glanced at him with amazement, unable to understand what he"
 10/11/1812 Sun 02:11:09  7e69d7e78f "wanted."
 10/11/1812 Sun 02:12:53  e20132c632 "“Though it was tête-à-tête,” Anatole continued, “still I can’t...”"
 10/11/1812 Sun 02:15:16  5fe1836f58 "“Is it satisfaction you want?” said Pierre ironically."
 10/11/1812 Sun 02:15:55  8d1cf4d209 "“You could at least take back your words. What? If you want me to do as"
 10/11/1812 Sun 02:16:51  1189d054c1 "you wish, eh?”"
 10/11/1812 Sun 02:19:08  c453c65f82 "“I take them back, I take them back!” said Pierre, “and I ask you to"
 10/11/1812 Sun 02:20:12  ddf7cecd69 "forgive me.” Pierre involuntarily glanced at the loose button. “And if"
 10/11/1812 Sun 02:20:58  252a041244 "you require money for your journey...”"
 10/11/1812 Sun 02:21:33  b42d1da6b0 "Anatole smiled. The expression of that base and cringing smile, which"
 10/11/1812 Sun 02:22:48  b943a6ff58 "Pierre knew so well in his wife, revolted him."
 10/11/1812 Sun 02:24:33  91e8cce6c6 "“Oh, vile and heartless brood!” he exclaimed, and left the room."
 10/11/1812 Sun 02:26:38  0102f5b513 "Next day Anatole left for Petersburg."
 10/11/1812 Sun 02:27:44  f52b2aae79 "CHAPTER XXI"
 10/11/1812 Sun 02:29:14  c2ede3859b "Pierre drove to Márya Dmítrievna’s to tell her of the fulfillment of her"
 10/11/1812 Sun 02:31:02  687ece7504 "wish that Kurágin should be banished from Moscow. The whole house was in"
 10/11/1812 Sun 02:32:01  101667ddf1 "a state of alarm and commotion. Natásha was very ill, having, as Márya"
 10/11/1812 Sun 02:33:54  8f711c9a29 "Dmítrievna told him in secret, poisoned herself the night after she had"
 10/11/1812 Sun 02:34:48  c0deace001 "been told that Anatole was married, with some arsenic she had stealthily"
 10/11/1812 Sun 02:36:46  6fa24bb2e5 "procured. After swallowing a little she had been so frightened that she"
 10/11/1812 Sun 02:38:32  c06d22ebb9 "woke Sónya and told her what she had done. The necessary antidotes had"
 10/11/1812 Sun 02:40:49  9a458796cf "been administered in time and she was now out of danger, though still so"
 10/11/1812 Sun 02:42:34  9d28ccdfd5 "weak that it was out of the question to move her to the country, and"
 10/11/1812 Sun 02:43:44  0fd490f9d8 "so the countess had been sent for. Pierre saw the distracted count, and"
 10/11/1812 Sun 02:46:13  fd763c318c "Sónya, who had a tear-stained face, but he could not see Natásha."
 10/11/1812 Sun 02:47:38  9057043985 "Pierre dined at the club that day and heard on all sides gossip about"
 10/11/1812 Sun 02:49:43  2230ca8fa7 "the attempted abduction of Rostóva. He resolutely denied these"
 10/11/1812 Sun 02:51:29  309478d963 "rumors, assuring everyone that nothing had happened except that his"
 10/11/1812 Sun 02:53:29  d008f7af18 "brother-in-law had proposed to her and been refused. It seemed to"
 10/11/1812 Sun 02:55:57  c0deace001 "Pierre that it was his duty to conceal the whole affair and re-establish"
 10/11/1812 Sun 02:56:33  c32768e19f "Natásha’s reputation."
 10/11/1812 Sun 02:58:07  e3c4528a5b "He was awaiting Prince Andrew’s return with dread and went every day to"
 10/11/1812 Sun 02:59:48  dfb2a614f0 "the old prince’s for news of him."
 10/11/1812 Sun 03:00:25  1a30a8c56f "Old Prince Bolkónski heard all the rumors current in the town from"
 10/11/1812 Sun 03:02:18  6099a9e357 "Mademoiselle Bourienne and had read the note to Princess Mary in which"
 10/11/1812 Sun 03:03:46  23ecec0062 "Natásha had broken off her engagement. He seemed in better spirits than"
 10/11/1812 Sun 03:04:50  62df382e0c "usual and awaited his son with great impatience."
 10/11/1812 Sun 03:06:51  c2555b7dea "Some days after Anatole’s departure Pierre received a note from Prince"
 10/11/1812 Sun 03:08:17  8c2c61db57 "Andrew, informing him of his arrival and asking him to come to see him."
 10/11/1812 Sun 03:10:06  e9e148830e "As soon as he reached Moscow, Prince Andrew had received from his"
 10/11/1812 Sun 03:11:14  ec1b23392a "father Natásha’s note to Princess Mary breaking off her engagement"
 10/11/1812 Sun 03:12:15  562c8a760f "(Mademoiselle Bourienne had purloined it from Princess Mary and given"
 10/11/1812 Sun 03:14:32  c0deace001 "it to the old prince), and he heard from him the story of Natásha’s"
 10/11/1812 Sun 03:16:51  15f38d03e5 "elopement, with additions."
 10/11/1812 Sun 03:17:37  5981b1f519 "Prince Andrew had arrived in the evening and Pierre came to see him next"
 10/11/1812 Sun 03:19:00  a2883d7e31 "morning. Pierre expected to find Prince Andrew in almost the same state"
 10/11/1812 Sun 03:19:35  d7f3479d25 "as Natásha and was therefore surprised on entering the drawing room"
 10/11/1812 Sun 03:22:00  1fc84be3e5 "to hear him in the study talking in a loud animated voice about some"
 10/11/1812 Sun 03:22:51  7d1eebcfad "intrigue going on in Petersburg. The old prince’s voice and another now"
 10/11/1812 Sun 03:24:35  60e0786c50 "and then interrupted him. Princess Mary came out to meet Pierre. She"
 10/11/1812 Sun 03:26:39  428ff7b60c "sighed, looking toward the door of the room where Prince Andrew was,"
 10/11/1812 Sun 03:28:38  3bc4a715e8 "evidently intending to express her sympathy with his sorrow, but Pierre"
 10/11/1812 Sun 03:30:54  b16853a3d0 "saw by her face that she was glad both at what had happened and at the"
 10/11/1812 Sun 03:32:50  0c1b4be3e0 "way her brother had taken the news of Natásha’s faithlessness."
 10/11/1812 Sun 03:33:36  521791bd7c "“He says he expected it,” she remarked. “I know his pride will not let"
 10/11/1812 Sun 03:35:27  4f17667df3 "him express his feelings, but still he has taken it better, far better,"
 10/11/1812 Sun 03:36:39  a23125a076 "than I expected. Evidently it had to be....”"
 10/11/1812 Sun 03:38:55  c791924b4c "“But is it possible that all is really ended?” asked Pierre."
 10/11/1812 Sun 03:40:37  c0deace001 "Princess Mary looked at him with astonishment. She did not understand"
 10/11/1812 Sun 03:42:51  1a70a1a1fc "how he could ask such a question. Pierre went into the study. Prince"
 10/11/1812 Sun 03:43:37  789a7dfb60 "Andrew, greatly changed and plainly in better health, but with a fresh"
 10/11/1812 Sun 03:45:11  9fd451a3a7 "horizontal wrinkle between his brows, stood in civilian dress facing"
 10/11/1812 Sun 03:47:33  598af49958 "his father and Prince Meshchérski, warmly disputing and vigorously"
 10/11/1812 Sun 03:49:34  96b5d8a4ad "gesticulating. The conversation was about Speránski—the news of whose"
 10/11/1812 Sun 03:51:58  7561dbf41d "sudden exile and alleged treachery had just reached Moscow."
 10/11/1812 Sun 03:52:46  e5aa5884d0 "“Now he is censured and accused by all who were enthusiastic about him"
 10/11/1812 Sun 03:54:18  5584d464f9 "a month ago,” Prince Andrew was saying, “and by those who were unable to"
 10/11/1812 Sun 03:55:38  38589602bf "understand his aims. To judge a man who is in disfavor and to throw on"
 10/11/1812 Sun 03:57:37  add2e0a360 "him all the blame of other men’s mistakes is very easy, but I maintain"
 10/11/1812 Sun 03:59:47  24233c0288 "that if anything good has been accomplished in this reign it was done by"
 10/11/1812 Sun 04:01:31  bf54dfa802 "him, by him alone.”"
 10/11/1812 Sun 04:03:17  e2c1312f0a "He paused at the sight of Pierre. His face quivered and immediately"
 10/11/1812 Sun 04:04:57  54b0a3d7ca "assumed a vindictive expression."
 10/11/1812 Sun 04:06:22  02f4845b9c "“Posterity will do him justice,” he concluded, and at once turned to"
 10/11/1812 Sun 04:08:16  260a45bb19 "Pierre."
 10/11/1812 Sun 04:08:50  438d8d150b "“Well, how are you? Still getting stouter?” he said with animation, but"
 10/11/1812 Sun 04:10:21  a894a16147 "the new wrinkle on his forehead deepened. “Yes, I am well,” he said in"
 10/11/1812 Sun 04:12:02  8b6a62bf40 "answer to Pierre’s question, and smiled."
 10/11/1812 Sun 04:12:49  2f9e71c407 "To Pierre that smile said plainly: “I am well, but my health is now of"
 10/11/1812 Sun 04:13:26  99a6b9881a "no use to anyone.”"
 10/11/1812 Sun 04:14:41  3a76e332ea "After a few words to Pierre about the awful roads from the Polish"
 10/11/1812 Sun 04:16:49  8b4a282f17 "frontier, about people he had met in Switzerland who knew Pierre, and"
 10/11/1812 Sun 04:19:12  027a0b82ae "about M. Dessalles, whom he had brought from abroad to be his son’s"
 10/11/1812 Sun 04:19:45  f5a3f53ccc "tutor, Prince Andrew again joined warmly in the conversation about"
 10/11/1812 Sun 04:22:10  c0deace001 "Speránski which was still going on between the two old men."
 10/11/1812 Sun 04:23:18  bef7f6d594 "“If there were treason, or proofs of secret relations with Napoleon,"
 10/11/1812 Sun 04:25:29  15b42c4ee1 "they would have been made public,” he said with warmth and haste. “I do"
 10/11/1812 Sun 04:26:25  f26f42a383 "not, and never did, like Speránski personally, but I like justice!”"
 10/11/1812 Sun 04:27:25  9f1b4a05df "Pierre now recognized in his friend a need with which he was only too"
 10/11/1812 Sun 04:29:21  7368764242 "familiar, to get excited and to have arguments about extraneous matters"
 10/11/1812 Sun 04:30:26  c0deace001 "in order to stifle thoughts that were too oppressive and too intimate."
 10/11/1812 Sun 04:32:06  de55c25a02 "When Prince Meshchérski had left, Prince Andrew took Pierre’s arm and"
 10/11/1812 Sun 04:32:42  0b64357558 "asked him into the room that had been assigned him. A bed had been made"
 10/11/1812 Sun 04:34:41  9b17d99def "up there, and some open portmanteaus and trunks stood about. Prince"
 10/11/1812 Sun 04:36:31  45e9dd17f2 "Andrew went to one and took out a small casket, from which he drew a"
 10/11/1812 Sun 04:38:02  2ebf85183a "packet wrapped in paper. He did it all silently and very quickly. He"
 10/11/1812 Sun 04:38:43  b1db97761b "stood up and coughed. His face was gloomy and his lips compressed."
 10/11/1812 Sun 04:40:02  90b065d59e "“Forgive me for troubling you....”"
 10/11/1812 Sun 04:41:13  2711cb14b1 "Pierre saw that Prince Andrew was going to speak of Natásha, and his"
 10/11/1812 Sun 04:43:00  5acabc93c8 "broad face expressed pity and sympathy. This expression irritated Prince"
 10/11/1812 Sun 04:43:35  a2e9430ce0 "Andrew, and in a determined, ringing, and unpleasant tone he continued:"
 10/11/1812 Sun 04:45:49  48684b8253 "“I have received a refusal from Countess Rostóva and have heard reports"
 10/11/1812 Sun 04:46:32  c0607a3224 "of your brother-in-law having sought her hand, or something of that"
 10/11/1812 Sun 04:48:23  76dcb78cc0 "kind. Is that true?”"
 10/11/1812 Sun 04:50:33  4e1f3b18f8 "“Both true and untrue,” Pierre began; but Prince Andrew interrupted him."
 10/11/1812 Sun 04:52:09  65025f2857 "“Here are her letters and her portrait,” said he."
 10/11/1812 Sun 04:53:11  96a13172f2 "He took the packet from the table and handed it to Pierre."
 10/11/1812 Sun 04:55:38  9dfa17e562 "“Give this to the countess... if you see her.”"
 10/11/1812 Sun 04:57:21  ef42981162 "“She is very ill,” said Pierre."
 10/11/1812 Sun 04:59:00  0636ba60c0 "“Then she is here still?” said Prince Andrew. “And Prince Kurágin?” he"
 10/11/1812 Sun 05:01:06  2c4911839e "added quickly."
 10/11/1812 Sun 05:02:34  bcbe532b38 "“He left long ago. She has been at death’s door.”"
 10/11/1812 Sun 05:04:17  1628ee715a "“I much regret her illness,” said Prince Andrew; and he smiled like his"
 10/11/1812 Sun 05:06:10  c94a203c55 "father, coldly, maliciously, and unpleasantly."
 10/11/1812 Sun 05:06:52  700a183940 "“So Monsieur Kurágin has not honored Countess Rostóva with his hand?”"
 10/11/1812 Sun 05:09:13  03bbedbac2 "said Prince Andrew, and he snorted several times."
 10/11/1812 Sun 05:10:47  22ebcc459e "“He could not marry, for he was married already,” said Pierre."
 10/11/1812 Sun 05:11:48  29b556ab61 "Prince Andrew laughed disagreeably, again reminding one of his father."
 10/11/1812 Sun 05:12:39  4c216802f2 "“And where is your brother-in-law now, if I may ask?” he said."
 10/11/1812 Sun 05:13:31  c3c6ef7e28 "“He has gone to Peters... But I don’t know,” said Pierre."
 10/11/1812 Sun 05:15:07  11e1066497 "“Well, it doesn’t matter,” said Prince Andrew. “Tell Countess Rostóva"
 10/11/1812 Sun 05:17:25  bba93fdb0f "that she was and is perfectly free and that I wish her all that is"
 10/11/1812 Sun 05:19:19  d6eea66647 "good.”"
 10/11/1812 Sun 05:20:53  0db22bd749 "Pierre took the packet. Prince Andrew, as if trying to remember whether"
 10/11/1812 Sun 05:22:40  c38dae995c "he had something more to say, or waiting to see if Pierre would say"
 10/11/1812 Sun 05:23:54  abc10ed223 "anything, looked fixedly at him."
 10/11/1812 Sun 05:24:29  c0deace001 "“I say, do you remember our discussion in Petersburg?” asked Pierre,"
 10/11/1812 Sun 05:26:32  ae6765e917 "“about...”"
 10/11/1812 Sun 05:27:49  0c9909508e "“Yes,” returned Prince Andrew hastily. “I said that a fallen woman"
 10/11/1812 Sun 05:28:57  884023baea "should be forgiven, but I didn’t say I could forgive her. I can’t.”"
 10/11/1812 Sun 05:30:57  01995ce3f7 "“But can this be compared...?” said Pierre."
 10/11/1812 Sun 05:31:58  fa4a685d26 "Prince Andrew interrupted him and cried sharply: “Yes, ask her hand"
 10/11/1812 Sun 05:33:11  db901c769b "again, be magnanimous, and so on?... Yes, that would be very noble, but"
 10/11/1812 Sun 05:34:32  8be29fcc8e "I am unable to follow in that gentleman’s footsteps. If you wish to be"
 10/11/1812 Sun 05:35:05  48109f5b31 "my friend never speak to me of that... of all that! Well, good-by. So"
 10/11/1812 Sun 05:37:16  c30a4b5485 "you’ll give her the packet?”"
 10/11/1812 Sun 05:39:09  01d430b36d "Pierre left the room and went to the old prince and Princess Mary."
 10/11/1812 Sun 05:41:31  a3beea3460 "The old man seemed livelier than usual. Princess Mary was the same as"
 10/11/1812 Sun 05:42:55  27e4a073e2 "always, but beneath her sympathy for her brother, Pierre noticed her"
 10/11/1812 Sun 05:43:58  abaa9c1248 "satisfaction that the engagement had been broken off. Looking at them"
 10/11/1812 Sun 05:45:48  1f552f5e42 "Pierre realized what contempt and animosity they all felt for the"
 10/11/1812 Sun 05:48:10  a55eadb4f1 "Rostóvs, and that it was impossible in their presence even to mention"
 10/11/1812 Sun 05:50:18  a05347a914 "the name of her who could give up Prince Andrew for anyone else."
 10/11/1812 Sun 05:51:31  e0866b8f0c "At dinner the talk turned on the war, the approach of which was becoming"
 10/11/1812 Sun 05:53:57  d6244483d6 "evident. Prince Andrew talked incessantly, arguing now with his father,"
 10/11/1812 Sun 05:55:56  1888b2b1cc "now with the Swiss tutor Dessalles, and showing an unnatural animation,"
 10/11/1812 Sun 05:58:06  c68bda34d6 "the cause of which Pierre so well understood."
 10/11/1812 Sun 05:59:03  03ea0bba5a "CHAPTER XXII"
 10/11/1812 Sun 06:01:15  02d401ad3c "That same evening Pierre went to the Rostóvs’ to fulfill the commission"
 10/11/1812 Sun 06:01:47  bc6a39bc7d "entrusted to him. Natásha was in bed, the count at the club, and Pierre,"
 10/11/1812 Sun 06:03:50  e7c19ebc2a "after giving the letters to Sónya, went to Márya Dmítrievna who was"
 10/11/1812 Sun 06:05:50  11fcce8c0c "interested to know how Prince Andrew had taken the news. Ten minutes"
 10/11/1812 Sun 06:07:39  6e4a86de51 "later Sónya came to Márya Dmítrievna."
 10/11/1812 Sun 06:08:39  92edc68441 "“Natásha insists on seeing Count Peter Kirílovich,” said she."
 10/11/1812 Sun 06:09:48  9d4fd38392 "“But how? Are we to take him up to her? The room there has not been"
 10/11/1812 Sun 06:12:13  061cefbdd7 "tidied up.”"
 10/11/1812 Sun 06:13:18  c3865feec7 "“No, she has dressed and gone into the drawing room,” said Sónya."
 10/11/1812 Sun 06:13:48  a4d5437e8b "Márya Dmítrievna only shrugged her shoulders."
 10/11/1812 Sun 06:15:47  8fab1894c6 "“When will her mother come? She has worried me to death! Now mind, don’t"
 10/11/1812 Sun 06:17:39  ed51984dd4 "tell her everything!” said she to Pierre. “One hasn’t the heart to scold"
 10/11/1812 Sun 06:18:39  8465078fed "her, she is so much to be pitied, so much to be pitied.”"
 10/11/1812 Sun 06:20:00  118079de0b "Natásha was standing in the middle of the drawing room, emaciated, with"
 10/11/1812 Sun 06:22:15  2985b93b5c "a pale set face, but not at all shamefaced as Pierre expected to find"
 10/11/1812 Sun 06:23:50  87a8067e9c "her. When he appeared at the door she grew flurried, evidently undecided"
 10/11/1812 Sun 06:25:55  9b73c39a32 "whether to go to meet him or to wait till he came up."
 10/11/1812 Sun 06:28:13  191cc08cf0 "Pierre hastened to her. He thought she would give him her hand as"
 10/11/1812 Sun 06:29:29  2668013ebc "usual; but she, stepping up to him, stopped, breathing heavily, her arms"
 10/11/1812 Sun 06:30:49  d15bcf9329 "hanging lifelessly just in the pose she used to stand in when she"
 10/11/1812 Sun 06:33:00  c0deace001 "went to the middle of the ballroom to sing, but with quite a different"
 10/11/1812 Sun 06:34:45  3308fdd64b "expression of face."
 10/11/1812 Sun 06:36:08  799cc9533e "“Peter Kirílovich,” she began rapidly, “Prince Bolkónski was your"
 10/11/1812 Sun 06:37:54  9b1a7b91dd "friend—is your friend,” she corrected herself. (It seemed to her that"
 10/11/1812 Sun 06:39:17  3256e72952 "everything that had once been must now be different.) “He told me once"
 10/11/1812 Sun 06:41:24  b106d97960 "to apply to you...”"
 10/11/1812 Sun 06:43:06  1d3297ac4b "Pierre sniffed as he looked at her, but did not speak. Till then he had"
 10/11/1812 Sun 06:43:58  57b6877bb9 "reproached her in his heart and tried to despise her, but he now felt so"
 10/11/1812 Sun 06:45:45  9da7e805f6 "sorry for her that there was no room in his soul for reproach."
